% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.171	0	0	18	2	1	28	9422	0	0	0
0.172	0	0	18	3	11	28	9422	0	0	0
0.173	0	0	18	4	10	28	9422	0	0	0
0.174	0	0	18	5	6	28	9422	0	0	0
0.175	0	0	18	6	14	28	9422	0	0	0
0.176	0	0	18	7	25	28	9422	0	0	0
0.177	0	0	18	8	15	28	9422	0	0	0
0.178	0	0	18	9	7	28	9422	0	0	0
0.179	0	0	18	10	19	28	9422	0	0	0
0.18	0	0	19	1	22	28	9422	0	0	0
0.181	0	0	19	2	17	28	9422	0	0	0
0.182	0	0	19	3	21	28	9422	0	0	0
0.183	0	0	19	4	13	28	9422	0	0	0
0.184	0	0	19	5	28	28	9422	0	0	0
0.185	0	0	19	6	29	28	9422	0	0	0
0.186	0	0	19	7	27	28	9422	0	0	0
0.187	0	0	19	8	30	28	9422	0	0	0
0.188	0	0	19	9	3	28	9422	0	0	0
0.189	0	0	19	10	7	28	9422	0	0	0
0.19	0	0	20	1	1	28	9422	0	0	0
0.191	0	0	20	2	11	28	9422	0	0	0
0.192	0	0	20	3	10	28	9422	0	0	0
0.193	0	0	20	4	6	28	9422	0	0	0
0.194	0	0	20	5	14	28	9422	0	0	0
0.195	0	0	20	6	19	28	9422	0	0	0
0.196	0	0	20	7	22	28	9422	0	0	0
0.197	0	0	20	8	17	28	9422	0	0	0
0.198	0	0	20	9	21	28	9422	0	0	0
0.199	0	0	20	10	25	28	9422	0	0	0
0.2	0	0	21	1	16	28	9422	0	0	0
0.201	0	0	21	2	18	28	9422	0	0	0
0.202	0	0	21	3	8	28	9422	0	0	0
0.203	0	0	21	4	9	28	9422	0	0	0
0.204	0	0	21	5	26	28	9422	0	0	0
0.205	0	0	21	6	4	28	9422	0	0	0
0.206	0	0	21	7	15	28	9422	0	0	0
0.207	0	0	21	8	3	28	9422	0	0	0
0.208	0	0	21	9	2	28	9422	0	0	0
0.209	0	0	21	10	5	28	9422	0	0	0
0.21	0	0	22	1	13	28	9422	0	0	0
0.211	0	0	22	2	4	28	9422	0	0	0
0.212	0	0	22	3	28	28	9422	0	0	0
0.213	0	0	22	4	29	28	9422	0	0	0
0.214	0	0	22	5	27	28	9422	0	0	0
0.215	0	0	22	6	2	28	9422	0	0	0
0.216	0	0	22	7	30	28	9422	0	0	0
0.217	0	0	22	8	1	28	9422	0	0	0
0.218	0	0	22	9	11	28	9422	0	0	0
0.219	0	0	22	10	10	28	9422	0	0	0
0.22	0	0	23	1	6	28	9422	0	0	0
0.221	0	0	23	2	14	28	9422	0	0	0
0.222	0	0	23	3	20	28	9422	0	0	0
0.223	0	0	23	4	23	28	9422	0	0	0
0.224	0	0	23	5	25	28	9422	0	0	0
0.225	0	0	23	6	8	28	9422	0	0	0
0.226	0	0	23	7	3	28	9422	0	0	0
0.227	0	0	23	8	7	28	9422	0	0	0
0.228	0	0	23	9	4	28	9422	0	0	0
0.229	0	0	23	10	19	28	9422	0	0	0
0.23	0	0	24	1	22	28	9422	0	0	0
0.231	0	0	24	2	17	28	9422	0	0	0
0.232	0	0	24	3	21	28	9422	0	0	0
0.233	0	0	24	4	13	28	9422	0	0	0
0.234	0	0	24	5	5	28	9422	0	0	0
0.235	0	0	24	6	28	28	9422	0	0	0
0.236	0	0	24	7	29	28	9422	0	0	0
0.237	0	0	24	8	27	28	9422	0	0	0
0.238	0	0	24	9	2	28	9422	0	0	0
0.239	0	0	24	10	30	28	9422	0	0	0
0.24	0	0	25	1	1	28	9422	0	0	0
0.241	0	0	25	2	11	28	9422	0	0	0
0.242	0	0	25	3	10	28	9422	0	0	0
0.243	0	0	25	4	6	28	9422	0	0	0
0.244	0	0	25	5	14	28	9422	0	0	0
0.245	0	0	25	6	24	28	9422	0	0	0
0.246	0	0	25	7	26	28	9422	0	0	0
0.247	0	0	25	8	25	28	9422	0	0	0
0.248	0	0	25	9	8	28	9422	0	0	0
0.249	0	0	25	10	4	28	9422	0	0	0
0.25	0	0	26	1	19	28	9422	0	0	0
0.251	0	0	26	2	22	28	9422	0	0	0
0.252	0	0	26	3	17	28	9422	0	0	0
0.253	0	0	26	4	21	28	9422	0	0	0
0.254	0	0	26	5	13	28	9422	0	0	0
0.255	0	0	26	6	28	28	9422	0	0	0
0.256	0	0	26	7	29	28	9422	0	0	0
0.257	0	0	26	8	5	28	9422	0	0	0
0.258	0	0	26	9	8	28	9422	0	0	0
0.259	0	0	26	10	27	28	9422	0	0	0
0.26	0	0	27	1	2	28	9422	0	0	0
0.261	0	0	27	2	30	28	9422	0	0	0
0.262	0	0	27	3	1	28	9422	0	0	0
0.263	0	0	27	4	11	28	9422	0	0	0
0.264	0	0	27	5	10	28	9422	0	0	0
0.265	0	0	27	6	6	28	9422	0	0	0
0.266	0	0	27	7	14	28	9422	0	0	0
0.267	0	0	27	8	19	28	9422	0	0	0
0.268	0	0	27	9	12	28	9422	0	0	0
0.269	0	0	27	10	24	28	9422	0	0	0
0.27	0	0	28	1	9	28	9422	0	0	0
0.271	0	0	28	2	15	28	9422	0	0	0
0.272	0	0	28	3	23	28	9422	0	0	0
0.273	0	0	28	4	3	28	9422	0	0	0
0.274	0	0	28	5	25	28	9422	0	0	0
0.275	0	0	28	6	4	28	9422	0	0	0
0.276	0	0	28	7	22	28	9422	0	0	0
0.277	0	0	28	8	17	28	9422	0	0	0
0.278	0	0	28	9	21	28	9422	0	0	0
0.279	0	0	28	10	5	28	9422	0	0	0
0.28	0	0	29	1	8	28	9422	0	0	0
0.281	0	0	29	2	13	28	9422	0	0	0
0.282	0	0	29	3	28	28	9422	0	0	0
0.283	0	0	29	4	29	28	9422	0	0	0
0.284	0	0	29	5	2	28	9422	0	0	0
0.285	0	0	29	6	30	28	9422	0	0	0
0.286	0	0	29	7	1	28	9422	0	0	0
0.287	0	0	29	8	11	28	9422	0	0	0
0.288	0	0	29	9	10	28	9422	0	0	0
0.289	0	0	29	10	6	28	9422	0	0	0
0.29	0	0	30	1	14	28	9422	0	0	0
0.291	0	0	30	2	20	28	9422	0	0	0
0.292	0	0	30	3	16	28	9422	0	0	0
0.293	0	0	30	4	26	28	9422	0	0	0
0.294	0	0	30	5	7	28	9422	0	0	0
0.295	0	0	30	6	15	28	9422	0	0	0
0.296	0	0	30	7	3	28	9422	0	0	0
0.297	0	0	30	8	25	28	9422	0	0	0
0.298	0	0	30	9	19	28	9422	0	0	0
0.299	0	0	30	10	4	28	9422	0	0	0
0.3	0	0	31	1	22	28	9422	0	0	0
0.301	0	0	31	2	17	28	9422	0	0	0
0.302	0	0	31	3	7	28	9422	0	0	0
0.303	0	0	31	4	21	28	9422	0	0	0
0.304	0	0	31	5	13	28	9422	0	0	0
0.305	0	0	31	6	28	28	9422	0	0	0
0.306	0	0	31	7	29	28	9422	0	0	0
0.307	0	0	31	8	2	28	9422	0	0	0
0.308	0	0	31	9	30	28	9422	0	0	0
0.309	0	0	31	10	1	28	9422	0	0	0
0.31	0	0	32	1	11	28	9422	0	0	0
0.311	0	0	32	2	10	28	9422	0	0	0
0.312	0	0	32	3	6	28	9422	0	0	0
0.313	0	0	32	4	14	28	9422	0	0	0
0.314	0	0	32	5	12	28	9422	0	0	0
0.315	0	0	32	6	18	28	9422	0	0	0
0.316	0	0	32	7	16	28	9422	0	0	0
0.317	0	0	32	8	24	28	9422	0	0	0
0.318	0	0	32	9	9	28	9422	0	0	0
0.319	0	0	32	10	20	28	9422	0	0	0
0.32	0	0	33	1	23	28	9422	0	0	0
0.321	0	0	33	2	26	28	9422	0	0	0
0.322	0	0	33	3	15	28	9422	0	0	0
0.323	0	0	33	4	27	28	9422	0	0	0
0.324	0	0	33	5	5	28	9422	0	0	0
0.325	0	0	33	6	3	28	9422	0	0	0
0.326	0	0	33	7	8	28	9422	0	0	0
0.327	0	0	33	8	7	28	9422	0	0	0
0.328	0	0	33	9	27	28	9422	0	0	0
0.329	0	0	33	10	19	28	9422	0	0	0
0.33	0	0	34	1	22	28	9422	0	0	0
0.331	0	0	34	2	17	28	9422	0	0	0
0.332	0	0	34	3	21	28	9422	0	0	0
0.333	0	0	34	4	13	28	9422	0	0	0
0.334	0	0	34	5	28	28	9422	0	0	0
0.335	0	0	34	6	29	28	9422	0	0	0
0.336	0	0	34	7	2	28	9422	0	0	0
0.337	0	0	34	8	18	28	9422	0	0	0
0.338	0	0	34	9	16	28	9422	0	0	0
0.339	0	0	34	10	9	28	9422	0	0	0
0.34	0	0	35	1	26	28	9422	0	0	0
0.341	0	0	35	2	4	28	9422	0	0	0
0.342	0	0	35	3	5	28	9422	0	0	0
0.343	0	0	35	4	3	28	9422	0	0	0
0.344	0	0	35	5	8	28	9422	0	0	0
0.345	0	0	35	6	30	28	9422	0	0	0
0.346	0	0	35	7	1	28	9422	0	0	0
0.347	0	0	35	8	7	28	9422	0	0	0
0.348	0	0	35	9	11	28	9422	0	0	0
0.349	0	0	35	10	10	28	9422	0	0	0
0.35	0	0	36	1	6	28	9422	0	0	0
0.351	0	0	36	2	14	28	9422	0	0	0
0.352	0	0	36	3	27	28	9422	0	0	0
0.353	0	0	36	4	19	28	9422	0	0	0
0.354	0	0	36	5	22	28	9422	0	0	0
0.355	0	0	36	6	17	28	9422	0	0	0
0.356	0	0	36	7	21	28	9422	0	0	0
0.357	0	0	36	8	13	28	9422	0	0	0
0.358	0	0	36	9	28	28	9422	0	0	0
0.359	0	0	36	10	29	28	9422	0	0	0
0.36	0	0	37	1	24	28	9422	0	0	0
0.361	0	0	37	2	18	28	9422	0	0	0
0.362	0	0	37	3	9	28	9422	0	0	0
0.363	0	0	37	4	4	28	9422	0	0	0
0.364	0	0	37	5	5	28	9422	0	0	0
0.365	0	0	37	6	2	28	9422	0	0	0
0.366	0	0	37	7	30	28	9422	0	0	0
0.367	0	0	37	8	1	28	9422	0	0	0
0.368	0	0	37	9	7	28	9422	0	0	0
0.369	0	0	37	10	11	28	9422	0	0	0
0.37	0	0	38	1	6	28	9422	0	0	0
0.371	0	0	38	2	8	28	9422	0	0	0
0.372	0	0	38	3	10	28	9422	0	0	0
0.373	0	0	38	4	14	28	9422	0	0	0
0.374	0	0	38	5	19	28	9422	0	0	0
0.375	0	0	38	6	22	28	9422	0	0	0
0.376	0	0	38	7	17	28	9422	0	0	0
0.377	0	0	38	8	21	28	9422	0	0	0
0.378	0	0	38	9	4	28	9422	0	0	0
0.379	0	0	38	10	13	28	9422	0	0	0
0.38	0	0	39	1	28	28	9422	0	0	0
0.381	0	0	39	2	29	28	9422	0	0	0
0.382	0	0	39	3	1	28	9422	0	0	0
0.383	0	0	39	4	23	28	9422	0	0	0
0.384	0	0	39	5	15	28	9422	0	0	0
0.385	0	0	39	6	26	28	9422	0	0	0
0.386	0	0	39	7	18	28	9422	0	0	0
0.387	0	0	39	8	2	28	9422	0	0	0
0.388	0	0	39	9	8	28	9422	0	0	0
0.389	0	0	39	10	7	28	9422	0	0	0
0.39	0	0	40	1	11	28	9422	0	0	0
0.391	0	0	40	2	6	28	9422	0	0	0
0.392	0	0	40	3	14	28	9422	0	0	0
0.393	0	0	40	4	19	28	9422	0	0	0
0.394	0	0	40	5	3	28	9422	0	0	0
0.395	0	0	40	6	30	28	9422	0	0	0
0.396	0	0	40	7	22	28	9422	0	0	0
0.397	0	0	40	8	17	28	9422	0	0	0
0.398	0	0	40	9	21	28	9422	0	0	0
0.399	0	0	40	10	4	28	9422	0	0	0
0.4	0	0	41	1	13	28	9422	0	0	0
0.401	0	0	41	2	28	28	9422	0	0	0
0.402	0	0	41	3	29	28	9422	0	0	0
0.403	0	0	41	4	1	28	9422	0	0	0
0.404	0	0	41	5	8	28	9422	0	0	0
0.405	0	0	41	6	7	28	9422	0	0	0
0.406	0	0	41	7	20	28	9422	0	0	0
0.407	0	0	41	8	9	28	9422	0	0	0
0.408	0	0	41	9	27	28	9422	0	0	0
0.409	0	0	41	10	26	28	9422	0	0	0
0.41	0	0	42	1	10	28	9422	0	0	0
0.411	0	0	42	2	3	28	9422	0	0	0
0.412	0	0	42	3	30	28	9422	0	0	0
0.413	0	0	42	4	11	28	9422	0	0	0
0.414	0	0	42	5	6	28	9422	0	0	0
0.415	0	0	42	6	14	28	9422	0	0	0
0.416	0	0	42	7	19	28	9422	0	0	0
0.417	0	0	42	8	5	28	9422	0	0	0
0.418	0	0	42	9	10	28	9422	0	0	0
0.419	0	0	42	10	3	28	9422	0	0	0
0.42	0	0	43	1	22	28	9422	0	0	0
0.421	0	0	43	2	17	28	9422	0	0	0
0.422	0	0	43	3	21	28	9422	0	0	0
0.423	0	0	43	4	4	28	9422	0	0	0
0.424	0	0	43	5	13	28	9422	0	0	0
0.425	0	0	43	6	28	28	9422	0	0	0
0.426	0	0	43	7	29	28	9422	0	0	0
0.427	0	0	43	8	1	28	9422	0	0	0
0.428	0	0	43	9	8	28	9422	0	0	0
0.429	0	0	43	10	16	28	9422	0	0	0
0.43	0	0	44	1	24	28	9422	0	0	0
0.431	0	0	44	2	23	28	9422	0	0	0
0.432	0	0	44	3	20	28	9422	0	0	0
0.433	0	0	44	4	9	28	9422	0	0	0
0.434	0	0	44	5	27	28	9422	0	0	0
0.435	0	0	44	6	2	28	9422	0	0	0
0.436	0	0	44	7	26	28	9422	0	0	0
0.437	0	0	44	8	5	28	9422	0	0	0
0.438	0	0	44	9	11	28	9422	0	0	0
0.439	0	0	44	10	6	28	9422	0	0	0
0.44	0	0	45	1	7	28	9422	0	0	0
0.441	0	0	45	2	27	28	9422	0	0	0
0.442	0	0	45	3	30	28	9422	0	0	0
0.443	0	0	45	4	14	28	9422	0	0	0
0.444	0	0	45	5	19	28	9422	0	0	0
0.445	0	0	45	6	22	28	9422	0	0	0
0.446	0	0	45	7	17	28	9422	0	0	0
0.447	0	0	45	8	21	28	9422	0	0	0
0.448	0	0	45	9	4	28	9422	0	0	0
0.449	0	0	45	10	13	28	9422	0	0	0
0.45	0	0	46	1	28	28	9422	0	0	0
0.451	0	0	46	2	29	28	9422	0	0	0
0.452	0	0	46	3	12	28	9422	0	0	0
0.453	0	0	46	4	25	28	9422	0	0	0
0.454	0	0	46	5	16	28	9422	0	0	0
0.455	0	0	46	6	23	28	9422	0	0	0
0.456	0	0	46	7	2	28	9422	0	0	0
0.457	0	0	46	8	26	28	9422	0	0	0
0.458	0	0	46	9	10	28	9422	0	0	0
0.459	0	0	46	10	1	28	9422	0	0	0
0.46	0	0	47	1	8	28	9422	0	0	0
0.461	0	0	47	2	7	28	9422	0	0	0
0.462	0	0	47	3	27	28	9422	0	0	0
0.463	0	0	47	4	3	28	9422	0	0	0
0.464	0	0	47	5	30	28	9422	0	0	0
0.465	0	0	47	6	11	28	9422	0	0	0
0.466	0	0	47	7	6	28	9422	0	0	0
0.467	0	0	47	8	14	28	9422	0	0	0
0.468	0	0	47	9	2	28	9422	0	0	0
0.469	0	0	47	10	19	28	9422	0	0	0
0.47	0	0	48	1	22	28	9422	0	0	0
0.471	0	0	48	2	10	28	9422	0	0	0
0.472	0	0	48	3	17	28	9422	0	0	0
0.473	0	0	48	4	21	28	9422	0	0	0
0.474	0	0	48	5	3	28	9422	0	0	0
0.475	0	0	48	6	12	28	9422	0	0	0
0.476	0	0	48	7	24	28	9422	0	0	0
0.477	0	0	48	8	20	28	9422	0	0	0
0.478	0	0	48	9	16	28	9422	0	0	0
0.479	0	0	48	10	23	28	9422	0	0	0
0.48	0	0	49	1	4	28	9422	0	0	0
0.481	0	0	49	2	13	28	9422	0	0	0
0.482	0	0	49	3	28	28	9422	0	0	0
0.483	0	0	49	4	29	28	9422	0	0	0
0.484	0	0	49	5	8	28	9422	0	0	0
0.485	0	0	49	6	7	28	9422	0	0	0
0.486	0	0	49	7	5	28	9422	0	0	0
0.487	0	0	49	8	27	28	9422	0	0	0
0.488	0	0	49	9	30	28	9422	0	0	0
0.489	0	0	49	10	11	28	9422	0	0	0
0.49	0	0	50	1	6	28	9422	0	0	0
0.491	0	0	50	2	14	28	9422	0	0	0
0.492	0	0	50	3	2	28	9422	0	0	0
0.493	0	0	50	4	19	28	9422	0	0	0
0.494	0	0	50	5	22	28	9422	0	0	0
0.495	0	0	50	6	10	28	9422	0	0	0
0.496	0	0	50	7	17	28	9422	0	0	0
0.497	0	0	50	8	21	28	9422	0	0	0
0.498	0	0	50	9	15	28	9422	0	0	0
0.499	0	0	50	10	18	28	9422	0	0	0
0.5	0	0	51	1	25	28	9422	0	0	0
0.501	0	0	51	2	12	28	9422	0	0	0
0.502	0	0	51	3	24	28	9422	0	0	0
0.503	0	0	51	4	16	28	9422	0	0	0
0.504	0	0	51	5	5	28	9422	0	0	0
0.505	0	0	51	6	3	28	9422	0	0	0
0.506	0	0	51	7	4	28	9422	0	0	0
0.507	0	0	51	8	13	28	9422	0	0	0
0.508	0	0	51	9	28	28	9422	0	0	0
0.509	0	0	51	10	29	28	9422	0	0	0
0.51	0	0	52	1	8	28	9422	0	0	0
0.511	0	0	52	2	7	28	9422	0	0	0
0.512	0	0	52	3	5	28	9422	0	0	0
0.513	0	0	52	4	27	28	9422	0	0	0
0.514	0	0	52	5	30	28	9422	0	0	0
0.515	0	0	52	6	11	28	9422	0	0	0
0.516	0	0	52	7	6	28	9422	0	0	0
0.517	0	0	52	8	14	28	9422	0	0	0
0.518	0	0	52	9	2	28	9422	0	0	0
0.519	0	0	52	10	19	28	9422	0	0	0
0.52	0	0	53	1	22	28	9422	0	0	0
0.521	0	0	53	2	9	28	9422	0	0	0
0.522	0	0	53	3	15	28	9422	0	0	0
0.523	0	0	53	4	18	28	9422	0	0	0
0.524	0	0	53	5	26	28	9422	0	0	0
0.525	0	0	53	6	12	28	9422	0	0	0
0.526	0	0	53	7	24	28	9422	0	0	0
0.527	0	0	53	8	10	28	9422	0	0	0
0.528	0	0	53	9	17	28	9422	0	0	0
0.529	0	0	53	10	21	28	9422	0	0	0
0.53	0	0	54	1	3	28	9422	0	0	0
0.531	0	0	54	2	4	28	9422	0	0	0
0.532	0	0	54	3	13	28	9422	0	0	0
0.533	0	0	54	4	28	28	9422	0	0	0
0.534	0	0	54	5	29	28	9422	0	0	0
0.535	0	0	54	6	5	28	9422	0	0	0
0.536	0	0	54	7	27	28	9422	0	0	0
0.537	0	0	54	8	30	28	9422	0	0	0
0.538	0	0	54	9	11	28	9422	0	0	0
0.539	0	0	54	10	6	28	9422	0	0	0
0.54	0	0	55	1	14	28	9422	0	0	0
0.541	0	0	55	2	19	28	9422	0	0	0
0.542	0	0	55	3	22	28	9422	0	0	0
0.543	0	0	55	4	1	28	9422	0	0	0
0.544	0	0	55	5	25	28	9422	0	0	0
0.545	0	0	55	6	16	28	9422	0	0	0
0.546	0	0	55	7	7	28	9422	0	0	0
0.547	0	0	55	8	10	28	9422	0	0	0
0.548	0	0	55	9	17	28	9422	0	0	0
0.549	0	0	55	10	21	28	9422	0	0	0
0.55	0	0	56	1	3	28	9422	0	0	0
0.551	0	0	56	2	4	28	9422	0	0	0
0.552	0	0	56	3	13	28	9422	0	0	0
0.553	0	0	56	4	28	28	9422	0	0	0
0.554	0	0	56	5	29	28	9422	0	0	0
0.555	0	0	56	6	1	28	9422	0	0	0
0.556	0	0	56	7	8	28	9422	0	0	0
0.557	0	0	56	8	2	28	9422	0	0	0
0.558	0	0	56	9	30	28	9422	0	0	0
0.559	0	0	56	10	7	28	9422	0	0	0
0.56	0	0	57	1	11	28	9422	0	0	0
0.561	0	0	57	2	6	28	9422	0	0	0
0.562	0	0	57	3	14	28	9422	0	0	0
0.563	0	0	57	4	19	28	9422	0	0	0
0.564	0	0	57	5	22	28	9422	0	0	0
0.565	0	0	57	6	10	28	9422	0	0	0
0.566	0	0	57	7	1	28	9422	0	0	0
0.567	0	0	57	8	20	28	9422	0	0	0
0.568	0	0	57	9	9	28	9422	0	0	0
0.569	0	0	57	10	16	28	9422	0	0	0
0.57	0	0	58	1	5	28	9422	0	0	0
0.571	0	0	58	2	27	28	9422	0	0	0
0.572	0	0	58	3	2	28	9422	0	0	0
0.573	0	0	58	4	17	28	9422	0	0	0
0.574	0	0	58	5	21	28	9422	0	0	0
0.575	0	0	58	6	13	28	9422	0	0	0
0.576	0	0	58	7	28	28	9422	0	0	0
0.577	0	0	58	8	29	28	9422	0	0	0
0.578	0	0	58	9	8	28	9422	0	0	0
0.579	0	0	58	10	4	28	9422	0	0	0
0.58	0	0	59	1	30	28	9422	0	0	0
0.581	0	0	59	2	7	28	9422	0	0	0
0.582	0	0	59	3	11	28	9422	0	0	0
0.583	0	0	59	4	6	28	9422	0	0	0
0.584	0	0	59	5	14	28	9422	0	0	0
0.585	0	0	59	6	19	28	9422	0	0	0
0.586	0	0	59	7	22	28	9422	0	0	0
0.587	0	0	59	8	10	28	9422	0	0	0
0.588	0	0	59	9	17	28	9422	0	0	0
0.589	0	0	59	10	1	28	9422	0	0	0
0.59	0	0	60	1	23	28	9422	0	0	0
0.591	0	0	60	2	18	28	9422	0	0	0
0.592	0	0	60	3	26	28	9422	0	0	0
0.593	0	0	60	4	12	28	9422	0	0	0
0.594	0	0	60	5	20	28	9422	0	0	0
0.595	0	0	60	6	24	28	9422	0	0	0
0.596	0	0	60	7	9	28	9422	0	0	0
0.597	0	0	60	8	27	28	9422	0	0	0
0.598	0	0	60	9	21	28	9422	0	0	0
0.599	0	0	60	10	13	28	9422	0	0	0
0.6	0	0	61	1	4	28	9422	0	0	0
0.601	0	0	61	2	3	28	9422	0	0	0
0.602	0	0	61	3	5	28	9422	0	0	0
0.603	0	0	61	4	8	28	9422	0	0	0
0.604	0	0	61	5	2	28	9422	0	0	0
0.605	0	0	61	6	28	28	9422	0	0	0
0.606	0	0	61	7	29	28	9422	0	0	0
0.607	0	0	61	8	30	28	9422	0	0	0
0.608	0	0	61	9	7	28	9422	0	0	0
0.609	0	0	61	10	11	28	9422	0	0	0
0.61	0	0	62	1	6	28	9422	0	0	0
0.611	0	0	62	2	14	28	9422	0	0	0
0.612	0	0	62	3	3	28	9422	0	0	0
0.613	0	0	62	4	23	28	9422	0	0	0
0.614	0	0	62	5	12	28	9422	0	0	0
0.615	0	0	62	6	20	28	9422	0	0	0
0.616	0	0	62	7	24	28	9422	0	0	0
